Anime Title,Reviewer,Review Text
Kimetsu no Yaiba,Mitteh,"It's not even close to top tier animes like aot, naruto, death note. Totally doesn't deserve its hype. Characters are annoying most of the time, battle scenes are awful, because you don't even understand what is happening, angle changes many times during the fight so it""s horrible. People say it has the best animation over the other ones, i personally don't think so, but even if they right the beautiful animation doesn't do its job when you can't show the whole fight properly. So it pointless to have multi colorful image and show either ultra close view or mess of paints. The biggest advantage of
                  ...
the anime is its weakness."
Karakai Jouzu no Takagi-san Movie,TRYHANAEL,"I had to talk about this anime. Each season has all been superb, and gave me joy and a certain nostalgia. 
To talk about the film, the music, the sets, the voices, the ambiance/atmosphere, seeing Nishikata and Takagi again what a pleasure... nothing could make me happier :) 
Huge W the studio doing very good things (with Dangers in my heart recently) 
This anime is one of my favorite romances with Kaguya Sama and Oregairu, but it has a special place that makes me soothed and admiring when I watch it, great movie! ❤️
If u like romance go check it !
(I'm sorry for the bad
                  ...
english guys)"
Boukensha: The Man Was from Spain,passing_through,"I wasn't expecting much when I stumbled upon this anime, but I'm pleasantly surprised at how enjoyable it is. I know the man himself is a controversial figure, and rightly so for starting the series of inquisitions of the natives on the western hemisphere, but while the humanization is a bit weird and propaganda-like, I think it successfully does its job at building character, at least while he's still young. It honestly gives me nostalgia for Liberty's Kids, and the at-times awkward dubbing makes the show pretty funny (I'd like to know who voiced young Columbus). The music is also really catchy, especially the theme
                  ...
song. Reminds me of old shows from the fifties and sixties. Honestly, if my history teachers found this growing up I would have watched a couple episodes of this alongside Liberty's Kids. I've also learned quite a bit about Columbus himself that I'd never learned from school, like how he grew up in a region of Italy called Genoa (I thought he grew up in Portugal), and that the cross that's now known as England's official flag was officially theirs (England stole it because of course they did).

Overall the anime itself is objectively fine, the main criticism I have is that it's 26 episodes, so eventually it's going to get pretty boring. I think the show should have been ten or twelve episodes instead. However, I would recommend this for the entertainment value it has, especially the first three episodes I've seen. Give it a watch, see if you like it :)"
Detroit Metal City,MeanEYE,"Very solid entertainment. I wish they've made episodes a bit longer but not because I wanted more content rather dialogs were sometimes really hard to follow. It's 12 episodes of well animated comical nonsense. Every episode had something that made mi giggle and that's something. Usually japanese humor flies above my head unmistakably. This time jokes actually land and are funny.

Our main character is the only one which is somewhat developed. It's kind of hard focusing more on character writing when episodes are 10 or so minutes long so I'll give them a pass on that. That said his duality, or rather split personality disorder
                  ...
by the looks of it, is a well chosen stage for this kind of absurd comedy.

Animation was actually not bad. I think the choice to go for comic book like panels in combination with contrast between cartoonish look for sane parts and gritty for metal parts is a good one. My only regret is that there's not more music. Few scores that are in this show are actually really good, apart from lyrics of course. :)

I'd say this one is worth a watch. It's a silly comedy that doesn't overstay its welcome and provides good entertainment."
5-toubun no Hanayome Movie,Nitro_Mathias,"This movie, Was More gonna be the season 3 of 5-toubun no Hanayome, they made a movie instead.

Where the movie turned out great, If you have watched as far as this, Just so you know, this movie gets very emotional

It's a 2 hour movie which can feel very harsh to through for some people, when your first invested in this movie you will mostly like see the whole thing

As the series itself (season 1 and 2) It has the moments where your gonna either almost cry and moments where your gonna laugh a little where it has a very good balance in some ways.

The movie
                  ...
goes a little more down on the comedy side of the series and spike heavely up on emotions where you constantly can feel the tension of what's happening in the movie.

As i said in my review of 5-toubun no Hanayome, if you like romcom's this is deffinently something for you

Give it a watch it 100 procent worth it. But watch the season 1 and 2 first because as i said, this is more or less the season 3 of the this awesome series"
5-toubun no Hanayome ∬,Nitro_Mathias,"The whole series for me Was really fun and was really good at keeping me watching

If you expect alot of just hilarious stuff then get ready because this is a whole ride in it self
This Anime has all sorts of moments in it where the watcher gets to feel all sorts of emotions

this Anime is Really good for People who like Romcom's this is more or less Your typical Romcom where you have the moments where you laugh alot and moments where you are close to crying 

If you like Romcom's this will deffinently be something for you, this Anime, can get you Emersed in
                  ...
it instantly from episode one

If you think Episode is kinda Meh Just you Wait and see for yourself, this is a really good anime, Give it a good watch

Ones you start on it, you just dont wanna stop watching"
K-On!,Skillover,"Final Verdict: MID
This show was Horrid. I could barely watch this. the music is so bad and the voice acting is worse than EXARM and made me almost throw up on a multitude of occasions. I made this account purely to voice my displeasure with this show this was hype up to be "" an alright show"" but all a got was a poorly paced disaster of a story with about as much charm as forespoken on launch. the art style is okay at best and the only thing saving this show what's so ever. I wasted my time with this mess and dont get
                  ...
me started on the characters they are all one dimensional copypastes








if you like having fun with a show. k-on is not for you"
Dr. Stone: New World,ozhbz,"Dr stone from 10/10 to 7/10
Second season was a downgrade but still very good, special movie was great and add a new interesting character but this season? huge downgrade. They added a disgusting unnecessary trap character with hidden gender, i really don't understand why this cringe character exist, big turn off and the serie becomes uncomfortable to watch.
Soundtrack, voice acting and vibes are still peak but the story? mid writing with this arc and what the fuck is that character that appear from nowhere? really stupid plot decisions, even that beam idea was stupid just keep the mystery. Inventions and science parts got skipped and
                  ...
nerfed too much, no explanations anymore, they just make things from nowhere."
Vinland Saga Season 2,ozhbz,"This is a Masterpiece.
Season 1 becomes great after the first half, this Season 2 is great since the first episode, the quality is insane.

Best anime of the season and one of the best of the year. 

Excellent character development, worldbuilding, storytelling,
writing, characters

Everything from the original source material is elevated by studio Mappa with their incredible Direction, Animations, Art and Soundtrack. This anime is a pleasure to watch. 

I had low expectations for this season after the death of the character that stole the show, but i was wrong and i understood that since the first episode"
Jujutsu Kaisen 0 Movie,honzoslav,"Not much to say here. It's exactly what's on the tin. That being said, it never reaches the same heights as the first season. The pacing was a bit off and the first half could most definitely be ten or maybe even fifteen minutes shorter. There is also a fake out death, but since this is a prequel and the character still lives in the main series, they aren't fooling anyone. They also try to have this emotional moment when revealing Maki's backstory, but once again, I already know about it since I watched the first season. Look at this point, I am just nitpicking.
                  ...
My main point is that even though its more of the same, it just doesnt hit as hard as the first season did. Its still very good but its missing something to be excellent. I guess I was just expecting another Mugen Train and it's not that."
Dragon Ball Super: Super Hero,Bensonas,"First of all, ill give some context to my love of Dragon Ball. I can say this confidently, and I would put money on it that most UK people on here, who are early 30s, wouldnt be on this site without a littlle channel called Cartoon Network and a little show called Dragon Ball Z. So many days spent rushing home from primary school to 'tune in next time on Dragon Ball Z, being 9 or 10, seeing Goku winding up the spirit bomb and watching him unleash it when i was 19.... I joke. 

Untimately, im a massive fan of Dragon Ball. Even GT
                  ...
has great moments as far as im concerned, thank god super happened ill be honest, but still, GT had its moments. Lookong back not too far is, what feels like it anyway, tHE 1000000000th film with Broly it. However, it re wrote the source of Broly's hatred, made it cannon and god damn was it great. Sublime animation, no messing about with trying too much of a story and provided us with another moment to add to the pile of the incredibly exciting moments Dragon Ball has given us over so many years.  So with the weight of the above behind me, I proudly press play on Dragon Ball Super: Super Hero.

So......here we go.......this film is absolute garbage.  I cannot even begin to convey my dissapoint at literally every aspect of this film. Firstly, lets mention its redeeming qualities....it's not very long.

Right then, now thats done, animation wise, I have no idea what the hell the studio was thinking. I have seen better character animation on Sega arcade cabinates in the late 90s. Scratch that. Ive seen better animation on the LCD screens when I went bowling.  Some may say, 'well thats a massive exaggeration' I know, but im annoyed. Ill leave it with this, if you are able to sit through this, without a confused look on your face, wondering how it all went so wrong, you are a better person than me.

The story just drags, laboriously so. I get it, we can't just keep following Goku and Vegeta getting stronger and stronger for ever more, well...maybe we could, but character depth is key. So having a film dedicated to Gohan and Piccolo was welcomed. But my God was it wasted. We are done with the Red Ribbon Army guys, completely done. But not only do they return, we get a terrible rehash of another villain. A villian no less that gave us one of the best saga DB has to offer, one of the greatest fights with Goku that is so underrated and instilled genuine fear as a child watching. It was the laziest villian recall I have ever seen, and ive seen Mob season 3. Final thing ill say on the story, we get treated to some new things from Piccolo and Gohan. Piccolo's is the laziest writing ive ever seen for a character in DB and Gohan's is a wasted opportunity. Personally, this should have waited until Super returning to our screens as the manga, so ive read anyway, explains it better.

Ill end with this, as I feel like I might have lost my mind writing this.  It was honestly the single most disappointing anime ive watch. There so much hype about it yet i saw no justification for it. Its certainly not the worst DB Film, but its among them and that is a deep pile of crap to be a part of."
The First Slam Dunk,IAmWaterLaw,"When I first saw the trailer for this movie, a wave of disappointment came over me as it looks so different from the anime and the obvious use of CG for the film. However, I still decided to go see the movie even with some doubts and have to say it blew me away. Even knowing the outcome of the film, I was still on the edge of my seat especially during to last 20 minutes of the film, which is animated amazing. The music is also surprisingly good, and really fits with the tone. The new protagonist was a bit off putting as Sakuragi
                  ...
is in my opinion much more interesting, however the film does a good job at making Miyagi feel more alive than ever, and Sakuragi still gets many good moments throughout the film. Overall its amazing, and I loved every second of it!"
Kanojo ga Koushaku-tei ni Itta Riyuu,Kushagra800,"Its a good romantic series and i think you wont get bored or anything.it has fantastic storyline and it will keep you interesting.
Hope to see the second season soon.....
Well it was not unique i know that there are others like this plot but its also true that some differences that this story have will make you watch it till the end.
Characters are just good.what i am trying to say is that characterization is not the strong suit of this anime because the specially feeble characters are strong in this anime so good luck.the art style is just good according to me."
Mousou Dairinin,CaptainKenshiro,"Why do I do this? I recently covered Ghost Hound, a title I found very hard to review, and here I am writing about Paranoia Agent, an anime that I find even harder to talk about. Sigh

Mousou Dairinin is a series that works way more on a conceptual level than at its execution, and it’s also the definition of a series for an acquired taste, as its writing is not very good for the hardest to please most critical viewers, and its narrative is almost unapproachable for a casual audience that just wants to have a good time. Also, being a work with Satoshi Kon
                  ...
in it raises the expectation high in terms of directing and atmosphere, and only one of them is truly achieved in this series. It doesn’t help that this is a show that’s best to watch after you already watched all the movies from the director first to get used to his style for a single, rather short entry before jumping to a full series. 

Let’s start with the easiest part which is the animation as a whole, easily one of the best you’ll find in any anime series, not a single quality drop as far as I’m concerned, very well made backgrounds, expressive and detailed motions, great special effects, great use of lightning and shading, great changes from brighter to darker colors whenever needed, and at times different art styles are well integrated within the series both visually and narratively. Plus it has the usual exceptional directing that can be expected from Satoshi Kon, just as he did with his movies before this series, he really captured how distorted the characters perceive reality by either messing up the visuals completely with added first person perspectives, or with a quick succession of scenes transitioning into one another. The only complaint I have here are the designs, which feel derivative from any other work from the director, they are not bad, I appreciate how realistic and varied the character figures are, but they definitely give the idea of being rehashed from somewhere else.

The sound is good but not amazing, and that’s the exact same thing that can be said about each part of the whole department. Voice acting? Good but not among the best you’ll find in the medium. Sound effects? Same thing. Music? Same thing, again, especially coming from Susumu Hirasawa. The opening is weirdly catchy, as it should, the visuals give you the idea that every character is uncontrollably laughing while losing their minds, thus it transmits the idea of paranoia quite well, and the song sounds uncomfortably upbeat for its super weird lyrics, for what’s being displayed on screen, and for the show it’s used for. The ending is simple and repetitive yet it also gives you the feeling of something that’s cute and relaxing at first approach, yet it hides something sinister underneath, while every important character peacefully sleeps around the main mascot of both the series and the world it takes place in, very fitting with the overall feel and themes of the anime, I’d say. With that said, there is a very well made sound mixing in here, especially during the darker and more intense and suspenseful moments, too bad the whole show isn’t like that.

But what is it about? A kid with a bat hitting people in the head, changing his targets on every episode. What feels like a simple episodic series at first, ends up being an interconnected psychological thriller, as every victim is related to a previous one, and there are two police detectives interrogating them and searching for clues to get to the bottom of the mystery and incidents. That’s not all, as every character gets an episode dedicated to showcase their lives and all the mental pressure they go through and the dark secrets they are hiding. Even though some are more important to the answer to the mystery than others, this approach makes every single one of them serviceable as plot devices and fleshed out on a basic level. There’s more though, as every character has technology and gossips/rumors making their lives harder on one way or another, which along with their subsequently more fragile psychological stability, ends up making them have suicidal thoughts, as means to escape from reality and the difficulties they face on a daily basis.

And that’s basically the core idea behind the show, to explore Japan's mentally stressed and overwhelmed, overworked and suicidal society, and how lies and fake news propagate with ease and can ruin lives or at least makes them harder. It also shows how said society deals with that through escapism, through both its use of technology and consumerism, of the cute main mascot from and within the show, as well as just ending it all as a mean to avoid dealing with the struggles and responsibilities one might have. Something very important to talk about for the time it came out at the beginning of the 21st century, that’s perhaps even more relevant now.

I’d like to show this with a quick description of several episodes, without spoilers:

-Episode 1. The first woman and first victim, one of the most important characters in the show, designer of the main mascot from and within the series, hated by her coworkers and pressured to come out with an equally or even more successful successor to the pink dog she popularized. Being the first person to be attacked, she is questioned a lot about the incident and even suspected of making up the whole story, both on her work, by the detectives, and on social media.

-Episode 2. The first kid and third victim, a narcissistic piece of shit suspected and rumored of being the teen with the bat, falsely accused of being a bully and later on being bullied himself, through a photo of him that’s shared on the cell phones of everyone at his school.

-Episode 3. The second woman and fifth victim, private tutor of the previous kid, a person with Dissociative Identity Disorder, and a prostitute at night. Both personalities try to overcome the other and talk to each other through her phone. This is the best and most Satoshi Kon episode on this Satoshi Kon series.

-Episode 4. The second man and sixth victim, a policeman extorted to work for the mafia to protect his family, under an alias of sorts, he uses a weird mask and stuff, and his personality changes a lot while doing it so. This is quite of a subversive episode of sorts, as the outcome wasn’t like the usual of the previous episodes, and the series dares to take a path that is seemingly going to end the plot in less than half the duration of the show, an interesting but risky move. Also there doesn’t seem to be any implication of technology here.

-Episode 5. I could bet this was one of the most hated and frustrating episodes to watch as it was airing, since the tone is completely different from the rest of the show, thus it comes off as extremely bizarre in an already uncommon series. It is about a kid who sees the whole world as Dragon Quest, while also a parody of sorts of said franchise. Nothing else can be said about it without spoiling a big part of the anime.

-Episode 6. The first girl and seventh victim, who communicates with her father through her cellphone, and she learns that he uses cameras to spy on her. It is directly linked with the fourth episode and adds the technological aspect that said episode was missing. It also flips the whole case up until this point. 

-Episode 7. One of the detectives is starting to be affected and becomes paranoiac himself, as he keeps listening to the testimonies and searching for clues on his own, he starts hallucinating because of the static of all the radios he uses for that.

-Episode 10. The fourth man and eight victim, out of the ones shown on screen, as at this point the conflict reaches a much bigger scale than what it’s actually shown on screen. This asshole keeps fucking up the anime of the mascot and blaming everyone else, the connections with technology are many to name, but is the one that has the most distorted view of reality, he does so many horrible things that are shown as quick flashbacks as he is falling asleep while driving. Probably narcoleptic. The episode is also a somewhat self-satire of anime production.

-Episodes 11 to 13. Yeah no, as if I were to talk about the episodes that give the answers and closure to the whole show, as well as a catharsis for some characters.

As you may notice, I didn’t talk about episodes 8 and 9, and that’s where the first problem of this anime lies, since those episodes felt like filler. The first has three online suicide friends, something that apparently exists in Japan and the Dark Web. It makes you think that it’s going to be important but it’s mostly comical in a twisted way and it tries to fool the audience that the criminal is a paranormal force, it’s not, it’s something even crazier. The second is just some women telling some made up stories about the kid with the bat, it’s meant to show the level of gossiping and paranoia up until that point but the rest of the episodes do the same with much better execution and results. These two could easily be skipped without losing much, the characters don’t even appear in the opening and ending like the rest of them, and it makes it feel like the series has an issue in its pacing and amount of episodes. 

The second issue is how the anti-suicide and anti-escapism message and answer for the mystery are directly told to the audience with no subtlety, different from the works of the director so far, I’m guessing because he wasn’t on charge of the script.

The third problem lies on the message itself, which is very simplistic and will feel misguided to most western viewers, of which I’m one of. As was discussed on several episodic discussions of this series that I’ve read on different sites, particularly on its eight episode, it’s important to understand that suicide is seen in a different way on the Japanese society and culture. Whereas in the West is commonly thought of as an act of selfishness and cowardice that should be avoided and persuaded from, over there it’s conceived as a way to pay for all the failures in your life, that nobody else should be sticking their noses in, so it’s the not very different but also the ultimate way of handling them, by giving your life on a last failure, basically.

And since Paranoia Agent is a Japanese series made by Japanese people, its message and criticism are not directed towards the problem itself, but the individual, as expected. Let me explain, the anime shows many different harsh scenarios and situations of many different people, and instead of seeing it as a collective problem, it still keeps the blame on every individual, it’s weird that it sees many different sources for what’s a common issue, while somewhat connecting every singular conflict, yet it ultimately concludes and decides that the problem is within each person as an isolated case. This means that the message of the show ends up being: “yeah, we know there are many issues within our society, you might suffer from some of them yourself, but you just have to tough it up and face them”, which is not exactly bad, but it isn’t very different from telling a depressed person to just cheer up or an addict to just stop consuming whatever they are addicted to, it’s a good but very simplistic and reductionist and not very empathetic message. It exposes a problem but it does not offer a very critical response to said issue, though I guess it’s expected for its era and I guess it would probably be presented differently nowadays.

The fourth issue are the characters, which although greatly used narratively as great plot devices that are even fleshed out on a basic level, all they have is a backdrop story, no one is very memorable nor have much personality outside their mental issues, and no one has a development, also only the most important ones have something that can be considered a catharsis, and even then one of them just seemed to have become totally delusional and repeats the cycle of another character, whose actions are completely incomprehensible, in a seemingly circular manner. The rest are shown again at one point in the series, thus you get to see what happened to them, but since the events in-between are missing, you don’t get to see how they ended like that, making their struggles and their respective solutions easier and simpler than they were previously presented.

The fifth problem is that it’s meant to be an allegorical series, instead of seeing it as something that it’s actually happening.  There’s nothing strictly bad with using symbolisms, especially when they actually mean something instead of being just cool or artsy visuals, but this way the writing comes off as totally unrealistic and nonsensical if seen in a literal manner, almost supernatural or fantastical in a setting that’s otherwise perfectly normal and mundane. Also, this way some of its biggest events come off as uneventful and easily fixable, those storms that take place in the show? Don’t worry, they don’t actually happen and everything is back to normal in the end. 

It’s even harder to accept because of the way the series is presented, reality is often twisted as a result of someone’s state of mind in the works of Satoshi Kon, but in almost every one of those, the characters are limited to a small set, often even just one of them, In Perfect Blue, it’s because of the protagonist slowly losing her sanity because of the fear and the pressure, her famous persona and the different image of her that she shows publicly giving her an identity crisis. In Millennium Actress, it comes in the form of the fading and blurry memories of a senile old woman who was also an actress, so her recollections of her life mix in her head with the movies and roles she played. In Tokyo Godfathers, the main homeless trio lies to themselves and others when they talk about how their lives turned that way, and how responsible they are for that. Paranoia Agent plays out in a similar way, but with a much bigger scope and an approach and reasoning that doesn’t feel as close, human and personal as his previous works, as it also partially makes the struggles to be quite external instead of entirely or mostly internal. Unfortunately he would do something similar with his last work Paprika, as dreams and reality blur with each other, only to be solved with an asspulled power up and everything going back to normal like nothing happened.

Bottom line, Paranoia Agent presents some of the best concepts and themes ever in anime with neat visuals and directing, serviceable atmosphere and a great use of interconnected plot devices to deliver an ok although weirdly presented and delivered message, but the writing and characterization are almost an afterthought for that, in a series that feels slow and very hard to digest and accept. I consider it to be worse than Tokyo Godfathers but better than Paprika. Worthy as a complementary one time watch to Satoshi Kon's previous movies, but not much else.

Similar and better works

-Satoshi Kon’s previous filmography (including Magnetic Rose)
-Boogiepop wa Warawanai, in plot structure and some themes
-Shinreigari, in plot structure and some of its topics
-Odd Taxi, in plot structure and main character arc"
Hitozuma Life: One Time Gal,luckysjjsjsjs,"About :-

This Animation is adapted by the H manga One time gal its ntr , impregnated , milfs etc and animate by EDGE . This hentai contain 2 episode same as it manga have 2 chapter in it .
In this hentai there is two characters we focus on
1. Airi chan who Married women and A housewife her husband work for a company and they have teenager daughter who currently study in college
2 . Youichi kazuma who is spoiled teenager who don't attend college regular going to party daily basis and he is airi san daughter boyfriend

Positive :-

There story are easy to understand dawm goods dailogues
                  ...
and voice artist and this hentai the scene are so good

Negative :-

As compared to the manga the animators not did great they cut some scenes not well animated if they animated it properly this hentai become masterpiece"
